Group,ATZ,D,ME,DT,ATZT,MET,DS,ATZS,MES,DBCF,ATZBCF,METBCF,Weight,SA,TotT,TotBCF,Totalsoil,AppRate
D,0,1,0,0.039291826,NA,NA,0.748226096,NA,NA,0.052513306,NA,NA,2.541,1.940708491,0.039291826,0.052513306,0.748226096,14.3
D,0,1,0,0.009126477,NA,NA,0.265299866,NA,NA,0.034400608,NA,NA,1.9682,1.673896833,0.009126477,0.034400608,0.265299866,14.3
D,0,1,0,0.141821902,NA,NA,0.49100957,NA,NA,0.288837349,NA,NA,2.6828,2.002696917,0.141821902,0.288837349,0.49100957,14.3
D,0,1,0,0.160589466,NA,NA,0.667150366,NA,NA,0.240709552,NA,NA,1.6688,1.521369444,0.160589466,0.240709552,0.667150366,14.3
D,0,1,0,0.0364,NA,NA,0.163864253,NA,NA,0.22214455,NA,NA,2.0942,1.735130392,0.036401551,0.22214455,0.163864253,14.3
D,0,1,0,0.055846327,NA,NA,0.361726536,NA,NA,0.15438825,NA,NA,1.7835,1.581065047,0.055846327,0.15438825,0.361726536,14.3
ATZ,1,0,0,NA,71.52121587,NA,NA,12.69771491,NA,NA,5.632605265,NA,1.7134,1.544780677,71.52121587,5.632605265,12.69771491,23.6
ATZ,1,0,0,NA,25.08110461,NA,NA,19.53422036,NA,NA,1.283957288,NA,2.5341,1.937655456,25.08110461,1.283957288,19.53422036,23.6
ATZ,1,0,0,NA,19.38292403,NA,NA,13.95176297,NA,NA,1.389281346,NA,2.0332,1.705685209,19.38292403,1.389281346,13.95176297,23.6
ATZ,1,0,0,NA,25.87712484,NA,NA,15.08549153,NA,NA,1.715365044,NA,3.6843,2.406479364,25.87712484,1.715365044,15.08549153,23.6
ATZ,1,0,0,NA,6.776429551,NA,NA,13.7795504,NA,NA,0.491774358,NA,2.1559,1.764548385,6.776429551,0.491774358,13.7795504,23.6
ATZ,1,0,0,NA,42.67128214,NA,NA,19.94532486,NA,NA,2.139412742,NA,2.1582,1.765638103,42.67128214,2.139412742,19.94532486,23.6
ME,0,0,1,NA,NA,4.795233731,NA,NA,25.97878604,NA,NA,0.184582672,1.1019,1.196362878,4.795233731,0.184582672,25.97878604,30.9
ME,0,0,1,NA,NA,0.81982627,NA,NA,19.46976495,NA,NA,0.042107661,2.9835,2.129751748,0.81982627,0.042107661,19.46976495,30.9
ME,0,0,1,NA,NA,1.930289923,NA,NA,35.36756212,NA,NA,0.054577975,1.2984,1.315606863,1.930289923,0.054577975,35.36756212,30.9
ME,0,0,1,NA,NA,2.17788472,NA,NA,33.63073958,NA,NA,0.064758752,2.6159,1.973627754,2.17788472,0.064758752,33.63073958,30.9
ME,0,0,1,NA,NA,8.198402807,NA,NA,30.86627037,NA,NA,0.265610413,2.4927,1.919263229,8.198402807,0.265610413,30.86627037,30.9
ME,0,0,1,NA,NA,8.053698309,NA,NA,76.0357331,NA,NA,0.105919914,1.2846,1.307492569,8.053698309,0.105919914,76.0357331,30.9
ATZD,1,1,0,0,0.079700165,NA,0.223020222,19.44494185,NA,0,0.004098761,NA,3.5987,2.37394653,0.079700165,0.004098761,19.66796207,37.9
ATZD,1,1,0,0.275763099,25.49430275,NA,0.577695811,24.56342025,NA,0.477350006,1.037897104,NA,2.8407,2.070121781,25.77006584,1.51524711,25.14111606,37.9
ATZD,1,1,0,0.135238827,30.38948929,NA,0.889122815,19.94192561,NA,0.152103651,1.523899441,NA,2.2087,1.789442601,30.52472812,1.676003092,20.83104843,37.9
ATZD,1,1,0,0.043914438,4.398786764,NA,1.002095183,30.12097404,NA,0.043822622,0.146037335,NA,1.6348,1.503344888,4.442701202,0.189859956,31.12306922,37.9
ATZD,1,1,0,0.111429034,34.87420323,NA,1.034746405,32.99061237,NA,0.107687288,1.057094753,NA,1.686,1.530428829,34.98563227,1.16478204,34.02535878,37.9
ATZD,1,1,0,0.156297393,5.783764403,NA,0.608611627,25.52512934,NA,0.256809739,0.226590993,NA,2.0948,1.73541821,5.940061796,0.483400732,26.13374096,37.9
